te_no,totalClassTime,currentClassDate
TE5BD98EA3A09EC,39,2019.7.2 0:11
TE5C545FDFC0834,80,2019.7.2 0:22
TE5BCD3DEE66795,61,2019.7.2 20:31
TE5BCD3DEE29534,153,2019.7.3 1:05
TE5BE1A6ED5AAD4,130,2019.7.3 22:10
TE5CC5D1484233B,170,2019.7.4 12:50
TE5C62B945D8A64,137,2019.7.4 17:39
TE5CD3DF074C7ED,67,2019.7.6 18:09
TE5BCD3DEEEE600,91,2019.7.6 21:31
TE5C977C6E66827,30,2019.7.8 17:29
TE5CB5DB3502111,155,2019.7.8 19:09
TE5C9CBAD440402,307,2019.7.8 22:45
TE5C94913C46CE8,129,2019.7.10 23:10
TE5BCD3DEF47521,21,2019.7.12 22:00
TE5D10E173BDB78,30,2019.7.12 22:32
TE5CA0AE240EB48,418,2019.7.13 0:27
TE5D038F4D42F72,30,2019.7.13 10:30
TE5BCD3DEDAD641,82,2019.7.13 16:59
TE5C84993FE8DA9,524,2019.7.13 18:03
TE5C6006149F3E4,159,2019.7.13 23:28
TE5C0BA735A2787,145,2019.7.13 23:33
TE5C7A01F7BED49,291,2019.7.14 11:32
TE5D09F452432E9,200,2019.7.14 15:50
TE5BCD3DEF9B639,61,2019.7.14 19:29
TE5C7F7EA39E720,223,2019.7.14 19:49
TE5C90ABCBC7EBF,270,2019.7.14 21:26
TE5C80970D0A525,356,2019.7.14 23:10
TE5BCD3DEF15AD7,64,2019.7.14 23:21
TE5C7244688ECCB,609,2019.7.15 19:03
TE5D026FC92B181,4,2019.7.15 19:44
TE5BCD3DEEC84C2,147,2019.7.15 20:00
TE5CCA5CED9CE1C,453,2019.7.15 20:25
TE5C8B7D135DCD6,233,2019.7.15 22:30
TE5BCD3DEEA24E7,187,2019.7.16 0:06
TE5BCD3DEF7FBED,692,2019.7.16 11:27
TE5C36ECD295A7A,171,2019.7.16 18:33
TE5C04CA6DBB54B,178,2019.7.16 21:03
TE5BCD3DEF868FA,171,2019.7.16 21:33
TE5C511A05EC275,447,2019.7.16 21:42
TE5BCD3DEDC2084,47,2019.7.16 21:54
TE5BCD3DED6ADAE,84,2019.7.16 22:28
TE5C9CEC16AA6C3,34,2019.7.16 22:35
TE5C8F28643E8C3,63,2019.7.16 23:06
TE5BCD3DEFCB9E7,301,2019.7.17 20:20
TE5C10BE2D2F910,19,2019.7.17 21:50
TE5BCD3DEF88367,101,2019.7.17 21:53
TE5C07628D4BD9F,445,2019.7.17 23:18
TE5C7E3D1ADABE6,296,2019.7.18 0:00
TE5BCD3DEEF0A1E,4,2019.7.18 5:26
TE5BCD3DEE71767,415,2019.7.18 10:38
TE5BE2A6343E750,25,2019.7.18 16:57
TE5C85F1014E5FB,200,2019.7.18 18:56
TE5C498EFD3C1E9,174,2019.7.18 19:10
TE5BCD3DED9C18E,128,2019.7.18 20:38
TE5CA83E1F31B1B,583,2019.7.18 20:54
TE5CD0DE9D5FCDB,193,2019.7.18 21:34
TE5BCD3DEF44532,595,2019.7.18 21:51
TE5BCD3DEF01A41,325,2019.7.18 22:03
TE5C4FFC6918ABF,414,2019.7.18 22:04
TE5BCD3DEFA0FBB,256,2019.7.18 22:30
TE5BCD3DEE3F647,165,2019.7.18 23:04
TE5CD112A8E4D7B,355,2019.7.18 23:31
TE5C29831C91665,270,2019.7.18 23:33
TE5C17BE539AD67,136,2019.7.18 23:35
TE5C7F850D6BBEF,1274,2019.7.19 0:01
TE5CBBF8E58C16E,416,2019.7.19 1:10
TE5BCD98B62D2D6,173,2019.7.19 10:07
TE5C8222409E3CE,306,2019.7.19 14:45
TE5BCD9B5F90C3E,12,2019.7.19 17:27
TE5BCD3DEDF139E,494,2019.7.19 18:31
TE5BCD3DEF8E7F2,378,2019.7.19 19:37
TE5C7E657795E61,280,2019.7.19 19:41
TE5BCD3DEDBC255,664,2019.7.19 20:25
TE5C8BB849AF067,189,2019.7.19 20:27
TE5CCD00AFE71A3,57,2019.7.19 20:59
TE5C23027A46762,288,2019.7.19 22:31
TE5C28726938122,526,2019.7.19 22:48
TE5C0F4875C7896,395,2019.7.19 23:32
TE5BE7BF82DAA7C,341,2019.7.20 8:58
TE5BF007894F9A6,490,2019.7.20 10:11
TE5BCD3DEE3726C,539,2019.7.20 12:06
TE5C25C731454D8,771,2019.7.20 14:04
TE5C0F9DFB6EFBC,254,2019.7.20 14:23
TE5BCD3DEDE1F86,212,2019.7.20 15:23
TE5C435F3BDEB42,180,2019.7.20 16:06
TE5C29350E4170D,142,2019.7.20 16:38
TE5C342980A9AD8,314,2019.7.20 16:57
TE5BCD3DEFD2513,584,2019.7.20 17:52
TE5C0D7EDABD169,128,2019.7.20 19:35
TE5D0713BF52579,88,2019.7.20 20:00
TE5C9B76772BF75,244,2019.7.20 20:01
TE5C1A6D5BBCC18,234,2019.7.20 20:42
TE5BCD3DEF19854,839,2019.7.20 20:45
TE5C7F09C7187A8,171,2019.7.20 21:31
TE5C6E011AEE07D,240,2019.7.20 21:34
TE5BCD3DEE4BB92,503,2019.7.20 22:00
TE5CFD04E21BC9E,265,2019.7.20 22:11
TE5BCD3DEFB5261,123,2019.7.20 22:25
TE5BCD3DEEC5FB6,30,2019.7.20 22:32
TE5C7E68B591ED6,685,2019.7.20 22:50
TE5BCD3DEF2E80F,162,2019.7.20 22:56
TE5BCD3DEE12BFC,506,2019.7.20 23:09
TE5C80903FDAB11,352,2019.7.20 23:48
TE5BCD3DEF434AE,722,2019.7.21 10:38
TE5C2606ADADCD2,358,2019.7.21 11:24
TE5C8F412B17F0F,1198,2019.7.21 11:24
TE5BCD3DEEAFE63,675,2019.7.21 11:58
TE5D1318E3E54B3,461,2019.7.21 12:01
TE5C9896BE925E6,671,2019.7.21 12:18
TE5C022E6B9F477,625,2019.7.21 12:28
TE5CE41F784DF2A,493,2019.7.21 14:04
TE5C3BD342BA3D5,312,2019.7.21 14:05
TE5BCD3DEECD784,245,2019.7.21 15:16
TE5BCD3DEF5AB24,969,2019.7.21 16:23
TE5C7E05B0BF0F4,121,2019.7.21 16:36
TE5BCD3DEE537DB,190,2019.7.21 18:02
TE5CF357E337251,550,2019.7.21 18:05
TE5BCD3DEF6EC80,399,2019.7.21 18:35
TE5C60F34A93975,884,2019.7.21 18:44
TE5BCD3DEFF2C25,308,2019.7.21 19:03
TE5CA36E8B0AD11,380,2019.7.21 19:55
TE5D1324625C5BD,15,2019.7.21 20:15
TE5C8224A398AE6,718,2019.7.21 20:34
TE5D0491EF6B297,578,2019.7.21 20:48
TE5BCD3DEECFBEB,367,2019.7.21 20:59
TE5C8742EAE6EBE,1258,2019.7.21 21:01
TE5C2DD946C3DFF,387,2019.7.21 21:06
TE5BCD3DEF8CF5D,686,2019.7.21 21:30
TE5C760BC4D8983,756,2019.7.21 21:34
TE5CCA6EA4DC252,435,2019.7.21 21:35
TE5C847CE8DC37A,525,2019.7.21 21:53
TE5D0DD055652E1,271,2019.7.21 21:58
TE5D061A3B5BA67,514,2019.7.21 22:06
TE5BD964BB4DF54,391,2019.7.21 22:58
TE5C56BFD5DFF33,804,2019.7.21 23:15
TE5C35E47010CC4,306,2019.7.21 23:16
TE5BCD3DEE582E8,304,2019.7.21 23:18
TE5C15F3E61CDB9,499,2019.7.21 23:24
TE5C1F56C2DEE3D,264,2019.7.21 23:27
TE5C18A9FCF34BB,2138,2019.7.21 23:33
TE5C32D2E714EAA,1222,2019.7.21 23:37
TE5D0866CB4C91D,395,2019.7.22 0:00
TE5BCD3DEE45F56,633,2019.7.22 0:42
TE5C9DCEA25D7FA,90,2019.7.22 8:59
TE5BCD3DEF40C19,1333,2019.7.22 9:59
TE5BE1D40E29E3E,740,2019.7.22 10:20
TE5BCD3DEE6B23A,424,2019.7.22 11:21
TE5BF444E5754A2,726,2019.7.22 11:21
TE5BCD3DED99218,1927,2019.7.22 12:59
