st_no,te_no,수업과목
ST5C5B9A5C0834B,TE5C3BD342BA3D5,고등수학(이과)
ST5C5D542E52206,TE5BCD3DEF40C19,국어
ST5C5007153B51B,TE5C3C1F7D83B84,중등수학
ST5C1DB77BB6A52,TE5C3C1F7D83B84,고등수학(이과)
ST5C48D37F6330E,TE5C29350E4170D,물리
ST5C4FF3DF9624D,TE5BCD3DEEEFC68,국어
ST5C26B1465A52F,TE5BCD3DEEC1946,고등수학
ST5C65689554EC4,TE5BCD3DEF5AB24,영어
ST5C5AE3FF2C0C0,TE5C1A25281DF8D,국어
ST5C5D8A373A6DE,TE5BCD3DED99218,고등수학(이과)
ST5BCD3CAD7DE17,TE5C210958EC564,고등수학
ST5C62B409071FB,TE5BCD3DEE6B23A,중등수학
ST5C63B67C611E9,TE5BCD3DED99218,고등수학(이과)
ST5C62CB9C41D31,TE5C36DEC2028AB,통합과학
ST5C62CB9C41D31,TE5C36DEC2028AB,통합과학
ST5C5EE6C89E017,TE5C31EA544F313,고등수학
ST5BCD3CADAFD4E,TE5BCD3DEF19854,국어
ST5BE41787232CD,TE5BCD3DEF09FFD,고등수학(이과)
ST5C6AA85F77DF9,TE5BCD3DEFF2C25,영어
ST5C5AB593789CF,TE5C28726938122,국어
ST5C42C3DA36456,TE5BCD3DEF19854,영어
ST5C5A684C40DBA,TE5C32D2E714EAA,중등수학
ST5BCD3CACB4A8B,TE5BCD3DEFB63A5,고등수학
ST5C6A997D509B1,TE5BCD3DEF19854,영어
ST5C4865F74EB07,TE5C342980A9AD8,고등수학
ST5C6D1B86EAF6E,TE5BCD3DED99218,고등수학
ST5BCD3CADB937C,TE5C18A9FCF34BB,영어
ST5C6E1DF34D618,TE5C46DC49B3699,수학
ST5C5EE6C89E017,TE5C0F9DFB6EFBC,국어
ST5C6BFCADCF3C8,TE5BCD3DEF40C19,국어
ST5C4D9F62695AC,TE5BCD3DEF2E80F,화학
ST5C736581A120B,TE5BCD3DED99218,고등수학(이과)
ST5C70CE2F12646,TE5BCD3DEE66795,멘토링
ST5BD99E9F13BC2,TE5C0F4875C7896,고등수학
ST5C63F20CC6559,TE5BCD3DEE4BB92,중등수학
ST5C62B409071FB,TE5BCD3DEE4BB92,영어
ST5C5ECAE080B5D,TE5C46DC49B3699,영어
ST5BE77133E8494,TE5BCD3DEE91B2C,영어
ST5BF9DE3C7986E,TE5BCD3DEFF2C25,영어
ST5C5AE3FF2C0C0,TE5BF444E5754A2,영어
ST5C5D92387BD84,TE5C4CB6D0A219B,생활과윤리
ST5C6B7B07A05B6,TE5C25C731454D8,초등수학
ST5C6E1DF34D618,TE5BCD3DEF19854,영어
ST5BCD3CADD2336,TE5C29350E4170D,물리
ST5BCD3CADD2336,TE5C29350E4170D,물리
