te_no,te_gender,mj_name
TE5C3BD342BA3D5,M,기계항공공학부
TE5BCD3DEF40C19,F,국어교육과
TE5C3C1F7D83B84,M,건축학과
TE5C3C1F7D83B84,M,건축학과
TE5C29350E4170D,M,기계항공공학부
TE5BCD3DEEEFC68,F,자유전공학부
TE5BCD3DEEC1946,F,"식품,동물생명공학부"
TE5BCD3DEF5AB24,M,지리교육과
TE5C1A25281DF8D,M,경제학부
TE5BCD3DED99218,M,기계항공공학부
TE5C210958EC564,F,간호학과
TE5BCD3DEE6B23A,F,건축학과
TE5BCD3DED99218,M,기계항공공학부
TE5C36DEC2028AB,M,기계항공공학부
TE5C36DEC2028AB,M,기계항공공학부
TE5C31EA544F313,F,재료공학부
TE5BCD3DEF19854,M,종교학과
TE5BCD3DEF09FFD,M,건축학과
TE5BCD3DEFF2C25,M,영어교육과
TE5C28726938122,F,국어국문학과
TE5BCD3DEF19854,M,종교학과
TE5C32D2E714EAA,F,화학생물공학부
TE5BCD3DEFB63A5,M,경영학과
TE5BCD3DEF19854,M,종교학과
TE5C342980A9AD8,F,지구환경과학부
TE5BCD3DED99218,M,기계항공공학부
TE5C18A9FCF34BB,F,경제학부
TE5C46DC49B3699,F,경제학부
TE5C0F9DFB6EFBC,M,경제학부
TE5BCD3DEF40C19,F,국어교육과
TE5BCD3DEF2E80F,M,화학생물공학부
TE5BCD3DED99218,M,기계항공공학부
TE5BCD3DEE66795,M,독어독문학과
TE5C0F4875C7896,M,건축학과
TE5BCD3DEE4BB92,F,자유전공학부
TE5BCD3DEE4BB92,F,자유전공학부
TE5C46DC49B3699,F,경제학부
TE5BCD3DEE91B2C,F,자유전공학부
TE5BCD3DEFF2C25,M,영어교육과
TE5BF444E5754A2,F,경제학부
TE5C4CB6D0A219B,M,윤리교육과
TE5C25C731454D8,F,건설환경공학부
TE5BCD3DEF19854,M,종교학과
TE5C29350E4170D,M,기계항공공학부
TE5C29350E4170D,M,기계항공공학부
TE5C19F86DCC0A5,M,화학생물공학부
TE5C46AC255213F,M,기계항공공학부
TE5BCD3DEE91B2C,F,자유전공학부
TE5BCD3DEDB3D78,M,기계항공공학부
TE5BCD3DEDE1F86,M,약학대학
TE5C25C731454D8,F,건설환경공학부
TE5C342980A9AD8,F,지구환경과학부
TE5C36F08AA9C9E,F,약학대학
TE5C760BC4D8983,M,화학생물공학부
TE5C32D2E714EAA,F,화학생물공학부
TE5C760BC4D8983,M,화학생물공학부
TE5BCD3DEE45F56,M,화학생물공학부
TE5BCD3DED99218,M,기계항공공학부
TE5C41034DCBC0C,M,"전기,정보공학부"
TE5C210958EC564,F,간호학과
TE5BCD3DEE71767,M,지구환경과학부
TE5BCD3DEE71767,M,지구환경과학부
TE5BCD3DEE45F56,M,화학생물공학부
